Spørsmål;Svar;Les mer her…;Link;Spørsmål_uten_stopwords;Svar_uten_stopwords
Hvilken portal må du bruke for å søke om ferie?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden.Husbanken har også en egen ferieliste som bør fylles ut i ferietiden.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvilken portal bruke å søke ferie ?;søke ferie DFØ-appen SAP selvbetjeningsportalen , Søknaden sendeselektronisk din leder godkjenning . leder behandlet søknaden , e-postmed orientering utfallet søknaden . Husbanken egen ferieliste bør fylles ferietiden .
overføre ubrukte feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.Merk deg at muligheten for å få utbetalt lønn for uavviklet ferie er falt bort ved endring avferieloven pr. 1.7.2014. Les mer om uavviklet ferie på grunn av sykdom. Dersom du vil overføre ferie fra et ferieår til neste, må du søke om dette innen 5. januar;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;overføre ubrukte feriedager ?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale å overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen . Merk deg muligheten å utbetalt lønn uavviklet ferie falt bort endring avferieloven pr. 1.7.2014. Les uavviklet ferie sykdom . Dersom overføre ferie ferieår , søke innen 5. januar
Hvordan søke om å overføre feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvordan søke å overføre feriedager ?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale å overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen .
forskuddsferie;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;forskuddsferie;gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges .
få forskuddsferie?;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;forskuddsferie ?;gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges .
definisjonen av forskuddsferie?;Det kan gis forskuddsferie med maksimalt 10 dager. Forskuddsferie må være opptjent før den kan innvilges.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;definisjonen forskuddsferie ?;gis forskuddsferie maksimalt 10 dager . Forskuddsferie opptjent innvilges .
feriedager har ansatte over 60 år ;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;feriedager ansatte over 60;fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet , ikke nødvendigvis sammenheng resten ferien . Feriepenger utgjør 14,3 % feriepengegrunnlaget fjoråret .
ekstra feriedagene for ansatte over 60 ;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;ekstra feriedagene ansatte over 60;fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet , ikke nødvendigvis sammenheng resten ferien . Feriepenger utgjør 14,3 % feriepengegrunnlaget fjoråret .
fordeler har ansatte over 60 år når det gjelder ferie?;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;fordeler ansatte over 60 gjelder ferie ?;fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet , ikke nødvendigvis sammenheng resten ferien . Feriepenger utgjør 14,3 % feriepengegrunnlaget fjoråret .
Antall feriedager for ansatte som jobber deltid;Når du tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Antall feriedager ansatte jobber deltid;tar ferie , avvikler antall feriedager vanligvis jobber per uke . Deøvrige ukedagene fridager uansett trekkes ikke kvoten feriedager . Hvis foreksempel normalt arbeider tre dager uken , tar uke ferie , trekkes treferiedager . Arbeider normalt tre timer dagen dager uken , tar uke ferie , trekkes feriedager .
søke om ferie?;Du må søke om ferie i DFØ-appen eller SAP selvbetjeningsportalen, Søknaden sendeselektronisk til din leder for godkjenning. Når leder har behandlet søknaden, får du en e-postmed orientering om utfallet av søknaden. Husbanken har også en egen ferieliste som bør fylles ut i ferietiden. ;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;søke ferie ?;søke ferie DFØ-appen SAP selvbetjeningsportalen , Søknaden sendeselektronisk din leder godkjenning . leder behandlet søknaden , e-postmed orientering utfallet søknaden . Husbanken egen ferieliste bør fylles ferietiden .
Antall feriedager for som jobber deltid;Når du tar ferie, avvikler du samme antall feriedager som du vanligvis jobber per uke. Deøvrige ukedagene er fridager uansett og trekkes ikke av kvoten for feriedager. Hvis du foreksempel normalt arbeider tre dager i uken, og tar en uke ferie, trekkes du for treferiedager. Arbeider du normalt tre timer om dagen fire dager i uken, og tar en uke ferie,trekkes du for fire feriedager.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Antall feriedager jobber deltid;tar ferie , avvikler antall feriedager vanligvis jobber per uke . Deøvrige ukedagene fridager uansett trekkes ikke kvoten feriedager . Hvis foreksempel normalt arbeider tre dager uken , tar uke ferie , trekkes treferiedager . Arbeider normalt tre timer dagen dager uken , tar uke ferie , trekkes feriedager .
overføre feriedager til neste år?;Ferieloven og hovedtariffavtalen åpner for at arbeidsgiver og arbeidstaker kan avtale å overføre 14 feriedager til neste år. Søknad om overføring av ferie skal skje i SAP selvbetjeningsportalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;overføre feriedager ?;Ferieloven hovedtariffavtalen åpner arbeidsgiver arbeidstaker avtale å overføre 14 feriedager . Søknad overføring ferie skje SAP selvbetjeningsportalen .
feriedager for ansatte over 60 år.;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;feriedager ansatte over 60 .;fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet , ikke nødvendigvis sammenheng resten ferien . Feriepenger utgjør 14,3 % feriepengegrunnlaget fjoråret .
kan ansatt over 62 stå lenger i arbeid?;"Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken
for perioden 1. januar 2023 til og med 30. april 2024.Arbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderfor anledning til ekstra tjenestefri med lønn etter denne avtalen.";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;ansatt over 62 stå lenger arbeid ?;"Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken 
 perioden 1. januar 2023 30. april 2024.Arbeidsgiver å legge rette arbeidstakere stå lenger arbeid . gisderfor anledning ekstra tjenestefri lønn avtalen ."
Seniordager (fra 62 år).;"Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken
for perioden 1. januar 2023 til og med 30. april 2024.FormålArbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderforanledning til ekstra tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen.Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år.Lokale kollektive tiltak. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.";Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Seniordager ( 62 ) .;"Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken 
 perioden 1. januar 2023 30. april 2024.FormålArbeidsgiver å legge rette arbeidstakere stå lenger arbeid . gisderforanledning ekstra tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . Lokale kollektive tiltak . dagene arbeidstaker tjenestefri Hovedtariffavtalen , arbeidstaker avtalen gis tjenestefri lønn inntil seks dager pr. kalenderåret arbeidstakere fyller 62 . seks lokale dagene ikke tas årets feriedager benyttet ."
Føringer for uttak av tjenestefri etter Hovedtariffavtalen og denne avtalen;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn.Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året.Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Føringer uttak tjenestefri Hovedtariffavtalen avtalen;Uttak tjenestefri lønn tas hele dager , halve dager , redusert arbeidstid avtale nærmeste leder . hensynet tjenesten avgjør hvordan tjenestefri tas , intensjonen utvises storfleksibilitet . Retten tjenestefri avtalen ikke overføres , utbetalessom lønn . året , gis tjenestefri lønn forholdsmessig året . Deltidsansatte arbeidstakere rett fridager forholdsmessig deltidsprosentende arbeider i.
feriedager for ansatte over 60 år.;Du som fylt 60 år har rett til en uke ekstra ferie. Disse dagene kan dukreve avviklet samlet, men ikke nødvendigvis i sammenheng med resten av ferien. Feriepenger utgjør 14,3% av feriepengegrunnlaget fra fjoråret.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;feriedager ansatte over 60 .;fylt 60 rett uke ekstra ferie . dagene dukreve avviklet samlet , ikke nødvendigvis sammenheng resten ferien . Feriepenger utgjør 14,3 % feriepengegrunnlaget fjoråret .
kan man over 62 jobbe?;Husbanken og de ansattes organisasjoner har inngått avtale om seniorpolitiske tiltak iHusbanken for perioden 1. januar 2023 til og med 30. april 2024. Arbeidsgiver ønsker å legge til rette for at arbeidstakere kan stå lenger i arbeid. Det gisderfor anledning til ekstra tjenestefri med lønn etter denne avtalen.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;over 62 jobbe ?;Husbanken ansattes organisasjoner inngått avtale seniorpolitiske tiltak iHusbanken perioden 1. januar 2023 30. april 2024. Arbeidsgiver å legge rette arbeidstakere stå lenger arbeid . gisderfor anledning ekstra tjenestefri lønn avtalen .
Ansatt som fyller 62  år tjenestefri? ;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år. De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Ansatt fyller 62   tjenestefri ?;Ansatt over 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen , arbeidstaker avtalen gis tjenestefri lønn inntil seks dager pr. kalenderåret arbeidstakere fyller 62 . seks lokale dagene ikke tas årets feriedager benyttet .
Ansatt som er over 62 ekstre fridager.;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen,kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Ansatt over 62 ekstre fridager .;Ansatt over 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen , arbeidstaker avtalen gis tjenestefri lønn inntil seks dager pr. kalenderåret arbeidstakere fyller 62 . seks lokale dagene ikke tas årets feriedager benyttet .
Har ansatt som er over 62 ekstre fridager?;Ansatt over 62 har ekstre tjenestefri med lønn etter denne avtalen. Sentrale vedtatte kollektive tiltak etter Hovedtariffavtalen. Det gis tjenestefri med lønn tilsvarende åtte dager pr. år fra det kalenderåret arbeidstakerefyller 62 år. I tillegg til de dagene arbeidstaker kan ta ut som tjenestefri etter Hovedtariffavtalen, kan arbeidstaker etter denne avtalen gis tjenestefri med lønn inntil seks dager pr. år fra det kalenderåret arbeidstakere fyller 62 år.De seks lokale dagene kan ikke tas ut før årets feriedager er benyttet.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;ansatt over 62 ekstre fridager ?;Ansatt over 62 ekstre tjenestefri lønn avtalen . Sentrale vedtatte kollektive tiltak Hovedtariffavtalen . gis tjenestefri lønn tilsvarende åtte dager pr. kalenderåret arbeidstakerefyller 62 . dagene arbeidstaker tjenestefri Hovedtariffavtalen , arbeidstaker avtalen gis tjenestefri lønn inntil seks dager pr. kalenderåret arbeidstakere fyller 62 . seks lokale dagene ikke tas årets feriedager benyttet .
hva er Føringer for uttak av tjenestefri til ansatte som er over 62?;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;hva Føringer uttak tjenestefri ansatte over 62 ?;Uttak tjenestefri lønn tas hele dager , halve dager , redusert arbeidstid avtale nærmeste leder . hensynet tjenesten avgjør hvordan tjenestefri tas , intensjonen utvises storfleksibilitet . Retten tjenestefri avtalen ikke overføres , utbetalessom lønn . året , gis tjenestefri lønn forholdsmessig året . Deltidsansatte arbeidstakere rett fridager forholdsmessig deltidsprosentende arbeider i.
Hvordan er retningslinjene for å ta ut tjenestefri for ansatte over 62 år?;Uttak av tjenestefri med lønn kan tas som hele dager, halve dager, eller som redusert arbeidstid etter avtale med nærmeste leder. Det er hensynet til tjenesten som avgjør hvordan tjenestefri kan tas ut, men intensjonen er at det utvises storfleksibilitet. Retten til tjenestefri etter denne avtalen kan ikke overføres til neste år, eller utbetalessom lønn. Det året man går av, gis tjenestefri med lønn forholdsmessig gjennom året. Deltidsansatte arbeidstakere får rett til fridager forholdsmessig etter deltidsprosentende arbeider i.;Les mer her…;https://husnettet-d/HR-Portalen/For-ansatte/Sider/Ferie;Hvordan retningslinjene å tjenestefri ansatte over 62 ?;Uttak tjenestefri lønn tas hele dager , halve dager , redusert arbeidstid avtale nærmeste leder . hensynet tjenesten avgjør hvordan tjenestefri tas , intensjonen utvises storfleksibilitet . Retten tjenestefri avtalen ikke overføres , utbetalessom lønn . året , gis tjenestefri lønn forholdsmessig året . Deltidsansatte arbeidstakere rett fridager forholdsmessig deltidsprosentende arbeider i.
